ID,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
1713,67,64,474.1736007,1012,118,207,4908.032251,2526.424897,13,8,iPhone
1722,112,90,244.0424379,1913,279,0,3472.93964,2619.485484,1,1,iPhone
1726,22,22,177.33932,521,45,0,9028.18533,2893.661274,19,13,iPhone
1738,21,19,307.8644169,104,0,0,5306.690596,2250.503174,12,12,Android
1779,40,34,94.2966596,57,2,94,3939.39864,1833.7084,25,22,iPhone
1789,14,14,278.8069912,3184,600,191,5278.781921,3086.06945,12,8,iPhone
1838,111,89,332.4704313,998,133,0,869.7766053,287.194087,23,17,iPhone
1839,204,165,238.3158902,1541,84,71,2362.111022,1770.300988,30,27,Android
1860,128,104,246.5946167,1495,8,0,3523.035202,432.7954141,16,14,iPhone
1887,210,186,435.2830862,3452,102,0,5345.177165,3119.21177,14,8,iPhone
1904,318,263,351.5700348,1843,0,91,4881.84251,2734.384605,15,15,iPhone
1905,50,42,403.3960176,2507,0,0,6615.258014,2655.672984,13,13,Android
1922,1,1,21.24541684,931,0,0,1735.361265,712.8194963,3,3,iPhone
1925,23,20,62.09258621,1664,0,157,2342.176986,838.4478653,29,22,iPhone
1927,2,2,291.110848,2447,36,0,5530.880206,3269.303177,27,25,Android
1936,157,135,361.6551604,691,219,12,3683.174504,1316.795734,24,19,iPhone
1976,138,124,303.9517432,237,0,0,1795.734611,1031.254286,20,15,iPhone
1984,117,95,141.2041027,1655,466,0,5838.079569,1589.857486,17,12,Android
1994,26,21,99.55171043,75,22,36,4697.341232,3225.489696,5,5,iPhone
1996,6,5,198.5826502,2420,69,8,3595.903884,1138.375149,22,15,iPhone
2006,78,78,447.103964,59,0,48,1223.072939,269.9456255,13,7,Android
2020,127,103,180.2618417,1539,127,0,4953.043815,1348.881298,21,18,iPhone
2030,45,36,286.3809665,81,449,0,1567.711621,332.3102759,16,11,iPhone
2032,242,194,322.440751,1617,0,41,14566.18817,9109.214416,6,6,Android
2089,82,66,260.8168293,909,0,0,6471.708353,4880.549137,11,7,Android
2120,21,17,47.60926448,45,0,104,10833.44402,3087.310752,25,20,iPhone
2160,208,171,208.6115709,456,95,65,1185.951844,544.8567027,13,8,iPhone
2199,3,3,35.67367925,569,172,78,8146.662183,2340.994383,29,23,iPhone
2216,281,225,281.5510256,577,0,0,3146.724192,1793.352918,8,4,iPhone
2270,32,31,52.4421445,1032,169,0,1540.38676,704.6763633,25,21,iPhone
2276,15,13,204.6464629,2407,0,7,860.6411474,355.2650901,19,17,Android
2291,116,93,354.2024859,2431,0,0,4014.624164,3130.116152,23,17,Android
2297,31,28,46.26757762,720,57,11,1814.34033,496.852086,24,16,Android
2302,74,61,163.5460197,1280,6,4,1907.738995,570.6194626,5,5,iPhone
2322,47,47,49.91938428,754,164,0,5471.787721,1843.187397,6,1,iPhone
2326,33,26,32.76309273,2242,101,0,8831.34851,4937.932876,31,29,Android
2331,79,79,115.0163514,1724,0,0,1897.656125,517.2296936,21,12,iPhone
2339,10,10,181.0292172,1599,87,37,3364.816169,1098.35571,9,6,Android
2346,14,11,63.50932709,1715,0,0,10383.77954,2478.854882,6,2,Android
2379,55,55,86.5933043,1522,18,3,4358.71998,2867.60265,15,9,iPhone
2389,88,72,104.1916675,3235,171,72,4317.202519,2642.458248,20,13,Android
2395,63,50,438.6968412,2946,62,4,3574.8769,795.5233405,1,1,Android
2407,49,41,179.9140435,3279,0,0,6580.141593,5227.95812,24,23,Android
2420,81,66,96.57407955,3105,0,0,1611.125727,1092.149662,14,10,iPhone
2474,205,205,234.7428612,2940,72,0,416.2856448,160.100575,12,12,Android
2488,6,6,33.81141354,2421,173,115,6239.137794,2996.833075,24,21,Android
2491,60,60,110.333092,1663,414,0,3218.423388,1771.305511,22,21,iPhone
2510,231,188,363.3019091,1291,206,29,1318.157466,425.53378,23,16,Android
2513,71,57,91.31747629,3344,0,114,3165.432215,1366.69289,19,13,Android
2515,145,122,193.1757177,2854,579,22,4862.770597,540.642724,24,18,iPhone
2543,97,78,318.7917926,1092,14,0,3494.195862,1492.811362,14,14,iPhone
2555,1,1,37.39206525,2334,109,40,2930.562438,1862.326919,12,8,iPhone
2574,78,63,319.5944809,3315,82,54,1703.898847,701.5640707,1,0,iPhone
2578,172,138,415.970877,1435,86,47,4754.179358,3685.020934,28,20,Android
2615,41,34,156.7827943,2094,144,0,1272.980471,673.7945234,7,7,Android
2622,128,102,149.403216,2514,57,0,3811.875362,2710.156785,12,12,Android
2637,42,42,279.841849,3433,278,28,1549.67326,1052.727575,26,24,iPhone
2655,267,213,275.1312905,2128,84,97,3039.814271,1284.333144,26,18,Android
2667,34,27,60.48633543,1957,0,30,4178.976647,2138.544673,15,15,Android
2683,85,68,400.3743128,1010,291,0,2026.544835,1655.471703,15,13,iPhone
2689,83,67,159.2662911,1908,0,286,3919.477115,2434.076764,14,11,Android
2701,38,32,54.46341069,380,523,27,4577.579284,1995.861012,19,18,Android
2705,36,29,263.6583315,131,0,11,1662.318615,894.839203,27,18,Android
2714,293,236,298.2336665,1644,0,133,3357.535223,1427.510421,27,19,Android
2720,131,105,435.9465801,3120,15,27,2714.177471,1825.474604,3,3,Android
2790,32,32,106.4153311,1938,0,0,5582.297056,2281.211613,8,4,Android
2846,315,252,324.4111494,2227,0,46,4923.270716,728.2078691,1,1,Android
2847,67,54,151.728995,3138,110,0,4702.32098,2864.767836,21,13,iPhone
2887,29,23,183.9536754,2276,25,37,2423.243108,1840.656963,28,21,Android
2910,273,273,293.6786324,3069,134,104,3434.700103,353.4351817,6,6,iPhone
2926,62,50,240.8251514,3191,108,11,1887.539343,1570.901755,12,12,Android
2928,17,14,41.24012091,2037,9,352,1188.624314,352.0246218,7,7,iPhone
2935,85,78,609.4244042,1426,352,1,6458.634944,3381.33209,31,22,iPhone
2982,45,36,182.4767346,2166,25,69,3492.35914,2242.188776,24,14,Android
3117,0,0,437.6215599,1063,38,0,5597.490052,2185.378001,9,4,Android
3120,268,215,483.0381418,1965,139,68,11156.02293,7117.086634,12,11,iPhone
3121,109,87,170.6155192,3322,32,42,652.2882557,410.8484402,14,13,iPhone
3173,177,142,212.1970559,1961,896,24,2003.339975,1234.82616,18,14,iPhone
3174,2,2,120.230248,1722,26,25,9064.235031,7282.872781,18,18,iPhone
3201,33,33,443.1990324,1679,0,0,2319.598467,1756.516077,7,7,iPhone
3224,22,18,23.30644185,2081,227,63,941.9727834,269.8217417,23,16,Android
3234,268,215,298.0394849,3298,432,99,4512.660534,3203.405462,30,27,iPhone
3307,7,7,36.95002442,314,58,30,5196.278168,1959.031091,25,24,iPhone
3385,36,30,57.86993432,1974,6,32,744.117489,520.2398085,7,6,iPhone
3391,147,119,784.3309671,2319,89,0,3247.31117,1851.528057,7,2,iPhone
3428,64,53,86.95517333,2703,0,0,8852.416454,6301.584585,5,2,iPhone
3438,40,32,48.19575876,3215,1,27,2607.972224,1824.301913,10,5,Android
3442,58,47,100.4676855,2465,100,0,1580.441769,1243.310624,3,0,iPhone
3446,55,44,195.0754278,1239,33,24,8599.176581,343.2644218,1,1,iPhone
3453,77,62,179.700892,2659,68,13,7895.271911,1537.464257,2,0,iPhone
3454,44,44,232.8319903,819,207,0,1673.128294,1111.585474,31,28,iPhone
3478,102,82,201.6758188,802,109,160,2267.518453,266.3672331,29,21,iPhone
3507,22,18,35.39552762,2400,0,31,2910.829231,1084.188447,30,24,iPhone
3526,69,56,77.97750937,852,0,0,2887.436091,2042.259989,6,6,iPhone
3543,125,100,343.6769895,1774,17,0,7688.572828,199.8899987,7,7,Android
3559,53,53,103.348757,3447,0,12,2404.736194,324.3349582,11,5,iPhone
3611,83,83,129.1925179,2309,76,12,1672.942152,590.6963789,19,14,iPhone
3646,29,26,40.53827672,2488,27,0,4031.971327,1827.484678,22,22,iPhone
3661,65,53,203.4998367,1918,136,11,6145.665498,3558.299616,22,17,Android
3664,5,5,170.1245275,692,0,64,2059.212135,1359.044467,4,4,Android
3674,51,41,225.5784449,930,191,69,2441.987446,1685.462604,22,19,Android
3700,49,42,156.2908447,1114,3,67,6012.892931,3404.258902,30,26,iPhone
3710,0,0,150.1324693,2655,733,0,2841.814183,725.8736722,26,17,iPhone
3756,27,22,109.6126408,1478,129,8,4350.27364,2354.143952,24,15,iPhone
3777,73,58,219.6539356,3319,0,0,1637.252623,1225.824505,26,21,Android
3829,150,121,193.0450166,1620,25,0,6385.832396,4612.152335,10,10,iPhone
3850,191,153,214.0869231,1528,26,0,3334.385511,1615.612622,9,3,iPhone
3880,15,12,119.425408,681,6,49,14238.66237,2207.066233,26,22,Android
3885,48,43,240.0447655,3243,327,37,2205.571684,728.640631,20,14,iPhone
3890,94,76,112.055473,3162,0,31,3109.834792,2291.724633,22,19,iPhone
3899,152,123,183.5035818,1511,261,6,835.2863531,505.9850043,10,5,iPhone
3913,19,16,32.15240522,1083,20,158,3109.298814,1967.460685,13,12,iPhone
3941,368,297,447.7229306,2464,56,71,1936.464013,1335.635134,7,5,Android
3946,27,22,103.2706607,1985,112,20,6112.055908,4356.708902,7,3,iPhone
3970,70,58,79.72857134,197,118,0,3312.720659,2222.538793,12,12,Android
3978,102,83,221.0560961,2023,155,0,8002.913856,6244.707182,10,4,Android
4004,246,197,422.7220068,328,0,9,4474.988925,2692.106452,23,13,iPhone
4054,61,49,242.0626372,1004,105,1,991.4979548,669.9816758,26,16,iPhone
4104,4,4,233.0846821,2598,27,0,1553.254624,667.4180885,31,30,iPhone
4118,180,145,210.7320726,1712,495,185,502.5621807,188.2759051,3,3,iPhone
4132,62,50,90.20318303,453,46,49,2272.999432,732.4684898,15,7,Android
4146,78,64,415.315661,3123,238,16,2206.376739,1359.760314,14,14,iPhone
4184,70,70,188.5238148,3076,170,13,8860.631224,2157.064944,7,7,iPhone
4191,46,46,196.3321802,3385,0,55,4877.444822,2100.964088,2,2,Android
4204,89,72,302.9481845,2594,370,106,2764.202876,998.74121,4,3,iPhone
4215,5,4,248.3196721,982,0,102,7366.595398,2832.031605,24,18,Android
4220,13,12,194.5627711,799,20,0,5333.321391,3422.635228,28,21,Android
4264,266,213,304.5254153,2420,106,0,2152.91477,377.8917376,15,10,Android
4266,32,26,34.4502227,1101,15,115,4650.263612,1740.548963,9,9,iPhone
4272,45,42,116.59561,2800,27,21,6525.880844,2655.483218,27,24,iPhone
4287,83,66,122.9037366,27,467,112,3329.573372,1352.46821,20,20,Android
4289,34,27,80.26840542,1968,257,0,5098.080559,3091.354328,30,21,Android
4298,21,17,169.2669569,2673,664,0,1623.022572,1062.222251,24,20,iPhone
4303,44,36,315.8132923,2335,7,37,3063.77287,1036.692405,15,12,iPhone
4320,4,4,229.0003319,2198,0,123,5766.56835,4699.438474,9,6,Android
4323,133,108,133.9551812,913,61,0,3600.628919,921.0972686,1,0,iPhone
4345,31,31,92.50602263,404,11,0,290.1198107,207.9359041,15,9,iPhone
4390,117,117,159.4868011,102,227,0,2307.256906,829.4285868,25,24,Android
4402,269,216,516.5795791,3194,134,8,6496.21933,1788.859512,20,16,iPhone
4456,261,219,364.1623924,2220,295,7,2509.941923,1844.830059,22,22,Android
4475,179,144,298.8800984,1551,98,0,1897.661073,1056.478839,17,10,iPhone
4476,23,23,70.59579038,2819,268,0,2829.790983,1112.156489,11,11,iPhone
4485,141,127,159.5013243,2622,0,1,2033.573965,1064.791998,27,21,Android
4490,74,63,124.0698634,256,42,0,3930.272963,1832.456098,1,0,Android
4509,3,2,68.71160979,2293,30,35,8352.017017,3102.075351,21,19,iPhone
4510,8,8,302.7309926,2918,6,0,905.5382179,679.3653277,25,15,Android
4537,145,116,162.2462474,690,0,25,2926.370109,947.88787,23,14,Android
4554,73,59,262.8001165,1111,0,13,11376.11933,7460.23197,31,29,Android
4559,2,2,55.76705599,1603,111,70,1336.683056,829.085152,13,11,iPhone
4627,132,121,226.6433815,1405,195,0,5638.7958,3626.806795,27,20,iPhone
4634,39,32,160.4906527,17,376,0,3099.648408,190.4410705,4,4,iPhone
4644,22,18,22.9393407,1626,321,46,4193.873133,2305.624472,15,10,iPhone
4658,113,92,591.2326406,3219,182,39,321.4220668,153.0782388,4,3,iPhone
4669,59,59,139.0126131,2404,161,109,1607.531013,892.0532863,11,10,iPhone
4670,91,73,362.4017166,1937,57,0,4492.889863,589.1070912,12,6,iPhone
4688,72,59,87.12604125,2376,95,10,5704.828439,4011.79251,30,25,iPhone
4713,103,86,195.0737453,1267,0,3,1724.924985,1177.206793,26,21,Android
4746,86,86,137.132412,1438,136,113,2245.160802,1517.928029,24,16,iPhone
4766,102,95,302.6861171,1049,63,15,3718.623085,863.5007079,20,18,iPhone
4771,80,68,143.4136547,2030,0,142,6568.854009,2638.729394,20,20,Android
4774,49,48,73.90765748,988,116,20,1664.645863,1152.402413,28,26,iPhone
4830,134,118,179.3487378,627,157,3,2553.869898,891.8789566,11,11,iPhone
4845,98,80,184.4393439,1502,89,55,8042.075756,3182.339477,8,8,iPhone
4854,40,34,99.19942348,276,50,28,1433.093218,510.8863657,14,11,iPhone
4888,75,61,82.49967765,3013,0,63,1239.368577,578.9832886,19,14,Android
4967,63,63,98.22369294,2934,4,0,2466.089207,1092.393215,14,6,Android
4989,0,0,157.8022569,1468,5,27,3804.908114,2337.844397,9,9,iPhone
4992,255,209,292.0554587,1916,112,0,8635.716016,1169.008338,21,12,iPhone
5040,155,124,256.4216565,3257,134,0,7832.282267,1595.211684,15,12,iPhone
5080,79,79,223.6721275,2459,529,46,4766.362447,2507.406168,9,6,iPhone
5117,5,5,43.94692472,1772,110,12,4355.428971,1618.912063,9,4,iPhone
5175,113,90,199.2103799,1781,277,16,2096.016837,685.2398097,22,19,iPhone
5219,44,37,49.87196484,3169,34,24,4012.107288,2380.48922,8,4,Android
5232,74,74,193.3521667,2789,0,33,2831.314946,1551.806232,9,8,Android
5249,104,96,282.929718,3497,45,26,1286.427222,808.2754148,10,4,iPhone
5256,25,25,176.2752626,946,0,20,3474.871515,2482.201249,26,21,Android
5258,25,25,28.26502299,3223,112,25,4775.678525,1335.885261,9,8,iPhone
5265,18,14,52.87786903,2372,0,0,4198.418183,2515.705333,0,0,iPhone
5285,39,35,83.24899788,341,497,0,4843.034494,911.7145246,31,24,iPhone
5295,46,46,50.06269617,1719,706,0,3176.053543,2214.229555,30,26,Android
5303,2,2,185.575042,1886,93,210,5665.334741,3158.949195,11,8,iPhone
5309,40,32,138.0865916,2774,3,23,12961.44177,5537.18034,1,0,iPhone
5314,22,18,53.39816236,3462,30,0,3074.483887,1664.672637,25,21,iPhone
5318,193,155,294.7619124,2532,48,0,5802.68101,3234.957132,25,20,iPhone
5329,121,97,277.4747086,3200,415,0,597.8355036,71.0735878,7,3,iPhone
5349,42,35,59.677826,2482,0,22,5695.13438,3210.040968,23,14,iPhone
5352,13,13,60.07148874,2066,117,0,5647.550089,1198.7219,9,9,Android
5353,90,74,382.9559355,1304,15,0,5572.821423,3798.32342,6,1,iPhone
5392,81,68,147.5566256,3446,0,73,3188.494358,698.8547893,21,21,iPhone
5408,157,126,270.4951532,365,212,60,7371.792493,1246.998741,15,13,iPhone
5430,59,48,144.2429767,71,284,25,3262.546857,2682.282859,18,11,iPhone
5476,5,5,756.5132763,1984,298,0,4884.905463,3233.051487,22,16,iPhone
5479,377,303,385.4599687,1906,0,71,3924.304431,2605.289111,5,4,Android
5481,23,18,46.75970786,540,270,18,2660.418827,1976.601223,16,14,iPhone
5525,136,109,351.8302568,1064,0,31,2219.885447,1746.205993,4,1,iPhone
5532,8,8,75.97387295,2779,153,11,5816.110912,3260.21479,31,24,iPhone
5551,62,62,127.9183509,3458,65,0,3019.95489,107.5486427,6,3,iPhone
5587,27,22,127.6416292,2111,0,0,5682.136355,2194.084752,1,0,Android
5596,4,4,141.7318359,1539,149,2,6095.977334,1710.29116,3,0,iPhone
5611,53,42,57.62231511,360,0,57,2968.072946,690.3290174,21,21,iPhone
5614,33,27,176.7437124,3052,0,254,2539.119555,275.2953054,20,16,iPhone
5645,154,124,480.9606191,2126,0,0,1946.413329,1029.363626,18,18,Android
5663,162,162,213.7570793,836,37,89,5197.716787,3722.679018,30,26,iPhone
5673,50,47,134.0656753,590,0,0,3283.432135,843.4635018,23,13,Android
5704,20,20,139.8731464,493,0,0,4057.724392,276.3275135,5,5,Android
5718,30,24,51.36320946,577,89,0,1264.09343,360.8958061,22,19,iPhone
5723,27,21,104.6504892,921,87,29,4013.364369,2374.697408,23,16,iPhone
5749,3,3,212.2888588,2633,818,12,2137.816041,1217.922217,15,10,iPhone
5752,22,22,38.07740839,117,88,50,3930.217506,2734.683261,16,10,Android
5757,31,31,207.1553501,2767,0,0,4981.834096,2605.830887,13,11,iPhone
5776,35,35,176.3732303,3179,171,17,2036.802598,1592.326064,11,7,Android
5780,49,40,179.7169993,2571,0,14,7846.043662,5192.684181,14,9,iPhone
5782,280,224,415.9324945,227,0,0,2708.662988,1538.17145,1,0,Android
5801,117,94,242.3792796,3455,132,116,3314.623576,1732.072844,11,11,iPhone
5831,39,36,72.94676228,1312,72,0,7907.326889,6367.309385,11,11,iPhone
5842,1,1,71.63535845,1591,0,0,8334.950248,3138.939096,7,7,Android
5851,107,90,328.3226542,1400,30,88,7950.94787,3019.94081,15,15,iPhone
5880,16,16,150.733023,2333,0,0,8089.987984,1950.168653,23,18,Android
5896,5,5,185.7656173,2182,188,0,10183.81244,7399.325618,10,8,iPhone
5904,106,85,169.6728885,1289,123,65,4516.262165,2369.190571,26,22,Android
5910,102,82,121.5997557,3056,168,0,3771.436417,640.7301504,5,5,Android
5917,17,17,211.6024766,869,259,68,9558.464886,2745.507793,20,12,iPhone
5921,160,128,183.7455263,1141,0,31,4713.710968,3037.118157,29,20,iPhone
5922,116,94,381.5290315,3291,409,0,4865.272796,4041.568458,13,10,Android
5940,20,17,59.46141769,1696,0,56,3589.174736,2756.806473,21,18,Android
6005,62,62,97.16315967,2118,0,45,1357.255701,1007.955585,4,2,iPhone
6071,75,60,215.5019114,2252,205,38,675.6690805,411.1020556,5,5,iPhone
6113,11,11,26.68651301,781,4,43,3635.154105,1911.549622,17,10,iPhone
6117,17,17,182.2981788,2057,69,86,2217.491284,773.4231497,28,21,iPhone
6135,137,110,444.1335043,3294,265,0,11969.02071,894.1329465,18,13,iPhone
6150,46,38,90.7202921,1761,14,0,1631.612648,479.5471129,8,5,iPhone
6212,185,148,200.8369629,1394,111,10,8390.294265,2203.555145,26,18,iPhone
6218,97,78,208.3728773,1932,398,114,2404.049862,1006.293904,6,4,iPhone
6225,86,74,123.486604,1384,17,0,6367.871272,1966.85077,4,4,iPhone
6233,55,47,435.3209338,1043,60,52,2953.509273,739.8390454,26,21,iPhone
6249,41,41,271.6000324,2614,71,0,1920.712028,411.0605291,16,12,iPhone
6335,77,71,78.92890253,3084,633,14,4845.653451,1705.548826,10,5,Android
6368,67,56,80.98117789,2792,250,0,1100.890664,466.4587345,16,13,Android
6393,14,11,190.3519193,1228,79,0,3112.537369,229.3287031,29,28,iPhone
6432,24,24,216.3434248,2264,19,0,1509.884852,496.4908407,6,6,Android
6436,13,13,118.5608185,929,0,0,2901.011394,1181.296593,11,11,Android
6540,112,90,280.0554942,3203,324,6,2144.43219,1191.496352,29,19,Android
6543,104,84,369.3917387,429,147,0,2954.585032,1567.201107,26,26,iPhone
6555,7,7,55.16809785,1927,181,95,3984.063215,893.4995176,17,12,iPhone
6563,83,69,358.7283065,1194,0,0,11305.85528,1762.055382,25,23,iPhone
6577,96,80,583.5251699,30,231,35,2624.306101,1712.561316,18,12,iPhone
6587,58,47,170.0548198,1713,0,12,6535.353605,5076.711597,18,18,iPhone
6611,35,28,101.2775719,2049,171,77,2622.962809,71.52304609,24,16,Android
6643,5,5,124.2619563,940,14,0,2886.333161,496.4926272,2,2,Android
6654,25,25,94.32673942,3224,149,3,7558.795525,2705.246112,15,15,Android
6741,87,87,122.9126666,2342,116,0,1761.849988,1460.952374,31,30,Android
6769,16,13,50.5578742,3434,83,25,1258.796185,983.4473705,8,6,iPhone
6783,9,9,324.3139361,158,93,76,2920.763055,645.0067169,22,20,iPhone
6806,2,2,285.5140502,925,0,77,3600.068438,2644.094361,4,4,Android
6846,30,24,36.51477626,446,550,0,4935.272249,1497.959453,25,20,iPhone
6847,64,52,181.1581955,2657,0,5,4578.152237,3164.752225,1,1,Android
6862,86,74,89.06609782,760,0,0,3174.849894,456.0424212,25,21,iPhone
6869,4,4,34.06118168,2832,17,0,2917.03617,473.3471807,30,28,Android
6897,52,42,123.9256378,3084,197,0,6915.516723,1754.124093,1,0,iPhone
6900,89,89,95.2049851,271,4,0,3282.102636,1422.485232,8,8,iPhone
6918,2,2,92.25979593,3490,113,0,2809.952835,1006.300488,25,24,iPhone
6937,284,233,508.6703157,1305,42,92,8182.545648,6196.944663,20,14,iPhone
6964,7,6,338.5928114,3189,1096,0,1279.53317,301.0692258,2,2,iPhone
6980,30,29,109.9173104,109,0,0,2897.36067,2091.996161,16,8,iPhone
6995,113,91,243.1522285,1010,40,24,7074.543754,3063.942533,15,13,Android
7008,40,34,212.5054537,2452,8,0,4461.913421,906.9661554,19,19,iPhone
7015,229,222,317.6519603,222,24,35,5066.42899,1439.862141,18,12,Android
7032,108,95,141.7279787,1049,106,68,4870.896677,3476.513179,15,8,Android
7101,67,55,193.7906408,3414,733,24,3155.675807,2607.045497,15,13,Android
7153,87,73,863.3550726,109,28,65,8776.566142,5877.907267,23,23,iPhone
7161,11,10,189.4586849,2813,23,7,5558.747646,2061.003908,3,0,Android
7211,197,161,284.2817732,2628,46,0,1747.169087,926.4084637,5,4,iPhone
7273,29,23,93.33538248,422,162,0,5045.310369,2065.177514,2,2,Android
7320,38,35,66.23090359,479,34,76,802.4148175,587.1731134,21,15,iPhone
7348,63,54,124.8633353,1599,0,27,1998.999178,1109.446612,11,4,iPhone
7391,82,80,212.8380386,2075,0,23,1316.088623,559.7551362,24,17,iPhone
