ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device_Android,device_iPhone
72,1,23,20.0,126.0890646,997,36,71,8054.086196,1506.312415,28,21,False,True
73,1,89,81.0,210.6642815,1189,0,68,5678.087584,1924.068701,29,22,False,True
74,1,142,113.0,324.7514369,3001,806,18,1966.355964,872.2037088,29,20,False,True
75,1,84,67.0,134.0383111,2868,177,55,2541.396988,1453.3281,22,21,False,True
76,1,30,28.0,73.91682979,1722,293,17,5574.224608,3842.845897,8,6,False,True
78,1,54,54.0,320.3440758,1285,0,77,2575.812329,987.0413442,29,20,True,False
79,1,97,84.0,209.2083212,1980,0,0,4471.194505,2104.72818,22,15,True,False
81,0,26,23.0,83.16688568,2118,335,0,944.2046415,455.0263064,2,0,True,False
82,1,16,16.0,40.74102349,484,373,61,3628.581195,2134.416647,9,9,False,True
83,1,22,17.0,130.7650795,199,75,28,4626.208693,1499.578879,29,24,True,False
84,1,18,18.0,446.7149825,1115,228,0,4798.273478,3831.848313,31,25,False,True
85,1,16,16.0,20.26166523,960,279,58,5044.128761,3437.228784,24,23,True,False
86,1,57,47.0,72.55234081,1260,230,65,3644.416203,1020.232449,5,4,True,False
87,1,18,18.0,197.7664549,1517,200,9,3771.957224,1639.140405,2,2,False,True
88,1,306,147.75,320.2575311,2252,60,0,3595.562658,2420.119875,28,20,True,False
89,1,35,28.0,71.61167794,1987,534,0,2422.61532,1156.60925,18,13,True,False
90,1,105,105.0,286.8490491,2826,168,0,2237.801562,1056.262155,4,0,False,True
91,1,117,94.0,156.839706,3479,286,17,1761.21432,310.7107283,28,26,False,True
92,1,106,86.0,203.3186425,846,318,0,3737.339752,1055.547009,9,3,False,True
93,1,52,46.0,58.27949387,613,223,183,4742.485842,3196.94492,20,20,False,True
94,1,17,14.0,279.9773294,3440,95,56,2674.811414,229.6819476,2,2,False,True
95,0,116,95.0,192.6382907,359,142,0,4032.868589,2695.612209,1,0,False,True
96,0,305,147.75,638.0401516,400,171,164,1896.894034,960.975077,19,13,True,False
97,1,0,0.0,559.5471117,2879,0,0,6668.84435,3511.370419,28,24,True,False
99,1,34,34.0,67.80586996,1403,27,24,6254.94844,3742.935943,1,1,False,True
100,0,122,99.0,295.5242311,2482,167,0,3396.139646,1841.313356,2,0,False,True
101,1,76,62.0,136.1968645,70,31,0,5700.894677,1041.768956,6,3,False,True
102,1,113,91.0,236.2949809,1031,34,65,2810.720839,1245.591383,0,0,False,True
103,1,78,63.0,121.4956353,2231,0,9,2427.257066,831.6080142,21,18,False,True
104,0,48,39.0,132.1688328,2279,194,0,2626.224474,1437.792565,24,24,True,False
105,1,37,30.0,53.99957919,710,2,30,5661.684796,2816.030953,26,20,True,False
106,1,139,112.0,321.7948003,2298,237,58,1243.198074,675.2571618,29,23,True,False
107,1,66,55.0,120.0854852,2515,0,0,2641.117738,2125.9414,16,14,False,True
108,1,29,23.0,56.53640154,677,309,0,5052.460683,868.0307127,7,5,False,True
109,1,38,38.0,77.18311377,2324,7,27,1702.406888,364.6328176,3,3,True,False
110,1,56,47.0,90.50690136,1714,0,0,1586.463423,733.9737947,15,13,True,False
112,1,54,45.0,116.6071611,3240,14,79,1762.324979,1006.688166,10,6,True,False
113,1,91,73.0,168.251515,3045,198,187,792.4761859,490.3170508,21,13,True,False
114,1,18,15.0,85.47546123,1305,25,10,2727.785623,513.498205,7,7,False,True
115,1,40,32.0,52.76008722,314,0,0,1724.225763,904.4785419,0,0,False,True
116,1,23,19.0,55.70118982,943,13,0,1234.079017,865.2079368,4,4,True,False
117,1,79,64.0,245.6239413,3016,0,92,4457.568347,1293.012432,25,20,True,False
118,1,42,34.0,174.1668226,1461,0,82,3478.887784,2343.429301,6,3,True,False
119,1,192,147.75,234.4007225,2503,205,40,9041.333182,4364.070565,28,26,True,False
120,1,16,14.0,403.4809775,1267,14,3,2585.059579,1690.346282,24,23,False,True
121,0,67,55.0,129.2595571,2922,310,15,2569.150563,1948.197506,11,7,False,True
122,1,150,122.0,269.0140577,546,0,38,6446.129773,2611.811183,16,10,False,True
123,1,31,25.0,130.3460437,3251,67,29,7712.174513,972.9860613,19,12,True,False
124,0,97,80.0,131.9129271,2929,37,0,4255.626774,866.8800721,12,9,True,False
125,1,16,15.0,157.9590826,343,53,44,1730.393075,455.4794569,25,16,True,False
126,1,148,118.0,167.2459681,2680,12,0,6206.237566,1879.524603,10,7,False,True
127,1,402,147.75,510.9532675,496,0,132,5781.057241,515.2152664,24,21,False,True
128,1,15,15.0,115.6572458,811,6,0,3090.907194,1572.509162,6,1,False,True
129,1,138,129.0,198.6097411,2053,62,39,2600.810383,1077.126474,26,23,False,True
130,0,39,32.0,176.5371809,190,610,33,4846.91837,2681.366806,4,4,True,False
131,1,25,25.0,716.0780294,2739,0,11,11009.29294,205.8626513,19,17,True,False
132,1,7,6.0,65.07366594,3023,140,0,1378.65079,385.7186153,27,18,True,False
133,1,17,15.0,105.6192067,1748,44,13,2774.682089,681.2939989,5,2,True,False
134,1,33,27.0,256.7593388,3012,136,72,9522.433102,1175.241192,10,10,False,True
135,1,40,32.0,102.9483312,3323,154,101,3465.589796,1951.540263,14,13,False,True
136,0,89,82.0,91.52727513,2254,0,0,1772.191366,581.6487794,3,3,False,True
137,1,237,147.75,268.643805,1258,88,9,4478.18088,3120.903895,27,24,True,False
138,1,141,113.0,242.1291202,508,0,0,4136.026058,1841.184376,12,11,False,True
139,1,29,29.0,490.3315821,2551,120,73,6323.941583,3381.924229,15,15,True,False
140,1,175,140.0,245.7357075,2808,145,27,5732.235928,1978.80378,3,3,False,True
141,1,222,147.75,637.1520592,3021,71,95,2847.210995,1023.024294,29,24,False,True
143,1,45,37.0,124.6937427,3073,81,112,2422.060394,1466.9046,24,15,True,False
144,1,53,43.0,169.9292346,2389,0,24,5406.819727,3727.775268,17,17,False,True
145,1,49,40.0,421.6059953,3244,30,0,2810.309139,1608.434574,12,5,False,True
146,1,89,72.0,187.9245034,2507,43,28,854.3864466,619.1899061,25,22,False,True
147,0,231,147.75,268.4330673,2726,81,0,3162.956577,2625.667679,1,1,True,False
148,1,51,41.0,94.97103389,3202,180,0,1642.368888,1064.403306,23,21,False,True
149,1,40,32.0,142.4369117,81,172,0,3296.985485,678.2867502,25,16,True,False
150,1,33,30.0,66.8912126,1324,221,0,3991.841876,811.7367455,2,0,False,True
151,0,16,16.0,96.28488763,263,195,0,6457.34681,2797.664795,5,1,False,True
152,1,130,108.0,186.1927457,3116,243,126,9184.587914,5580.123677,24,15,False,True
153,1,7,6.0,58.86116655,350,0,13,1838.430447,589.7720026,25,20,False,True
154,1,219,147.75,280.4192673,2306,0,77,3353.748203,839.8553132,13,7,True,False
155,1,260,147.75,593.8376512,720,20,0,2752.548464,511.8992854,10,8,True,False
156,1,14,13.0,62.99429299,843,35,7,1945.668314,1482.244178,24,22,True,False
157,1,161,129.0,647.4846853,672,0,31,4800.011104,3955.734301,15,14,False,True
158,1,97,78.0,423.9110606,1613,127,0,5035.613545,3271.766085,13,10,False,True
159,1,190,147.75,309.6783197,400,83,7,1789.478603,1418.241292,23,22,True,False
160,1,127,104.0,156.3539388,2184,0,48,9913.302189,2062.89733,25,25,False,True
161,1,41,33.0,167.2110599,2329,0,78,4795.348762,1610.18192,25,23,False,True
163,1,17,14.0,88.08790771,2992,123,53,2225.986252,1173.622402,22,15,True,False
164,1,43,43.0,171.9048024,1307,50,9,2683.155744,877.2887424,29,23,False,True
165,1,143,114.0,166.2799211,3095,111,15,4933.769533,2255.994717,11,6,False,True
166,1,140,113.0,185.1143893,2137,137,28,3294.554435,1909.513018,9,9,False,True
167,0,64,64.0,296.5899668,273,701,104,2196.549568,1414.4318,19,18,True,False
168,1,266,147.75,301.0848611,2476,0,44,3289.331979,974.2172746,29,26,True,False
169,1,218,147.75,309.0933633,1666,0,49,1433.805883,890.4583449,26,18,True,False
170,1,11,9.0,63.37880655,712,81,26,1624.454611,59.98446528,22,15,True,False
171,1,70,63.0,94.58117968,2774,59,0,3201.918054,1210.004022,30,20,False,True
172,0,123,99.0,152.5567286,2298,17,0,3082.671245,1191.406698,6,0,True,False
173,0,126,101.0,162.4519603,603,74,0,1392.044767,927.1696159,30,25,False,True
174,1,20,16.0,53.4550273,2463,411,89,3766.481688,1442.969873,21,21,True,False
175,1,55,55.0,81.58863034,3057,501,0,3729.175462,1894.837665,28,23,True,False
177,1,26,21.0,150.2961319,3217,163,17,1714.793605,1137.647657,13,10,True,False
178,1,12,12.0,14.72156617,3345,0,62,7170.180492,5209.574641,5,5,False,True
179,1,12,11.0,125.4712179,961,256,31,1579.994416,1172.120431,30,25,False,True
180,1,95,77.0,205.0061797,3091,223,113,1330.165394,694.2273068,15,10,False,True
181,1,11,11.0,60.39582231,1265,160,66,6508.284915,2393.696833,18,16,False,True
182,0,158,127.0,483.2623817,1379,90,99,6359.668308,3871.44325,8,8,False,True
183,1,63,51.0,164.2653247,2060,0,0,2793.932988,2196.625007,24,22,False,True
184,1,181,147.0,343.9452249,3498,34,0,2847.316114,1463.121713,16,9,True,False
185,0,2,2.0,18.27780555,2252,21,0,4267.335798,1968.320404,7,2,False,True
186,1,42,34.0,185.6691488,189,71,0,3989.118427,2421.203373,30,27,False,True
187,1,47,47.0,57.56448616,3110,11,24,1358.495097,523.7240476,23,18,True,False
188,1,13,13.0,148.67747,1026,0,0,9677.771658,2910.908676,28,20,False,True
189,1,69,55.0,612.7393981,2127,295,44,2250.61469,573.5874281,9,6,False,True
190,1,91,73.0,98.65923505,1814,0,49,4142.799208,3194.839867,6,3,True,False
191,0,150,122.0,247.3249005,1070,187,0,6393.481743,4553.238421,6,6,False,True
192,1,71,61.0,107.0263131,26,49,167,3389.641001,2533.340808,26,17,True,False
193,1,49,40.0,177.9586432,3477,16,0,3304.917873,876.5817852,11,11,False,True
194,0,231,147.75,406.1782678,745,0,11,3527.611715,936.001503,28,18,False,True
195,1,80,64.0,94.32008442,1364,374,75,541.5097616,242.0482374,29,23,True,False
196,1,20,17.0,64.41973416,149,33,0,8844.035207,4499.867035,20,17,False,True
197,1,67,54.0,230.4582451,1256,41,64,5045.398456,2109.483123,12,8,False,True
198,1,16,13.0,186.9794651,3306,184,32,905.6810673,299.0163994,10,10,True,False
200,0,5,5.0,138.8705748,321,0,0,8809.226415,2667.907883,3,0,True,False
201,0,26,22.0,112.9586168,957,622,0,1611.446289,892.4956928,7,3,False,True
202,1,57,46.0,271.9233666,777,95,33,2804.191515,1976.310414,6,5,True,False
203,1,83,67.0,96.30479738,1532,125,0,2948.886919,993.8732641,6,6,True,False
204,1,192,147.75,221.6576984,2047,102,51,3166.429712,960.7904459,24,23,True,False
205,1,33,30.0,109.9488004,1364,0,0,3559.971515,2406.462487,14,12,False,True
206,1,26,22.0,137.1660111,82,437,28,2167.763491,1735.421979,6,6,True,False
207,0,40,32.0,145.0459423,3346,443,9,3074.663538,1895.630542,30,27,False,True
208,1,108,87.0,191.936044,110,0,20,6768.997378,1506.123087,28,26,False,True
209,1,147,147.0,231.6026323,3414,133,53,5110.800712,2591.209147,23,14,False,True
210,0,351,147.75,453.6394213,3362,0,0,1812.494756,665.2729911,9,8,True,False
211,1,28,23.0,66.27163423,780,61,0,2214.364804,998.3809116,27,22,False,True
212,1,118,98.0,262.4824485,1728,74,208,3780.784102,1561.377004,30,24,False,True
213,1,53,53.0,77.9959639,1208,175,0,1678.647111,1292.628032,21,14,False,True
214,1,58,51.0,181.5508049,707,1,0,2687.263718,274.4209506,12,5,True,False
215,1,32,28.0,130.4263098,2747,66,143,1134.727416,194.7750303,22,21,True,False
216,1,198,147.75,215.9992155,2806,86,0,5592.664287,3732.715173,21,15,False,True
217,1,0,0.0,33.71021032,629,160,0,6103.88167,1767.846528,8,2,False,True
218,0,24,19.0,119.5481767,1827,0,0,5161.398906,3521.634946,3,2,False,True
219,1,134,108.0,304.7897104,805,38,0,9674.81691,992.5048321,28,18,False,True
220,1,45,36.0,521.043069,667,0,13,7906.134625,4617.912995,8,5,True,False
221,1,131,106.0,199.4857666,2208,0,0,1282.633982,319.3697841,11,11,False,True
222,1,130,104.0,164.3212072,853,133,0,2871.615782,1542.044342,10,10,False,True
223,1,14,12.0,227.863193,1757,34,0,4979.183869,1724.017094,28,19,False,True
224,1,185,147.75,311.2870759,3287,165,0,3810.497042,772.7007434,27,22,False,True
225,1,51,41.0,436.8746889,745,93,0,3685.383695,2801.633855,27,26,False,True
226,1,72,59.0,162.9841356,332,1,0,2375.993763,921.2046724,29,20,False,True
227,1,17,17.0,146.017828,1905,106,0,1675.366755,753.1189145,25,24,True,False
228,1,37,37.0,63.34400869,2057,0,14,1087.050057,781.0449242,14,14,False,True
229,1,7,6.0,176.803129,2951,73,56,7589.578721,4500.599272,13,11,False,True
230,0,15,12.0,111.2465431,1118,61,0,2368.45335,1260.738374,7,3,False,True
231,1,91,73.0,103.89582,3387,266,19,6995.447995,2721.061538,11,9,True,False
232,0,1,1.0,37.32263096,2041,46,163,6861.286668,4983.85779,12,9,False,True
233,1,9,8.0,258.5981961,343,351,117,3091.281136,2512.662365,16,15,False,True
234,1,56,46.0,55.92225593,1918,25,9,5799.5886,905.8854373,3,3,False,True
235,0,16,13.0,178.3434574,2937,108,0,1242.125798,261.7615756,11,8,False,True
236,1,136,110.0,136.9216388,605,364,0,1342.593311,333.6268656,31,21,False,True
237,1,239,147.75,375.7182036,2616,13,0,6343.510823,4878.599543,7,7,False,True
238,0,17,13.0,209.924477,171,57,0,3006.377135,1539.70849,4,4,False,True
239,1,120,101.0,547.6469834,3014,237,0,2474.647978,1107.658252,12,8,True,False
240,1,9,9.0,94.15769837,1638,37,0,2280.396864,1175.622699,8,3,True,False
241,1,49,45.0,78.08356425,3178,14,19,3520.871967,2367.054714,3,3,False,True
242,0,51,42.0,67.71359618,1828,0,24,7160.138608,4289.050141,12,12,True,False
243,0,293,147.75,362.5371744,710,222,0,4007.933555,1589.505388,8,6,False,True
244,1,73,66.0,103.92497,1413,0,0,1755.794535,1311.463056,17,13,False,True
245,1,10,8.0,70.68795123,2266,43,31,889.0358983,256.717097,5,5,False,True
246,1,16,16.0,50.39101573,1987,157,0,1139.850735,374.755023,18,13,False,True
247,1,29,29.0,89.7006354,1998,293,86,8353.314432,4877.501795,17,15,False,True
248,0,48,39.0,109.4921618,1507,0,0,3331.523048,2717.400862,11,7,True,False
249,1,148,128.0,170.701183,1288,221,110,3489.964417,1430.914975,7,4,False,True
250,1,25,25.0,26.31739936,2036,0,0,7236.941229,3064.028566,26,24,False,True
251,0,94,75.0,102.201763,1718,0,98,5314.988573,1962.160205,3,3,True,False
252,0,103,84.0,117.408428,720,25,0,4455.222323,1422.367429,3,2,False,True
253,1,27,22.0,44.4100336,1551,65,121,5654.090998,1326.127806,10,10,False,True
254,0,48,39.0,65.39750604,1315,191,2,4637.017844,1602.177101,3,3,True,False
255,1,263,147.75,271.5999514,1696,1,48,5096.15163,944.7660679,0,0,False,True
256,1,138,111.0,221.4540961,872,97,77,2947.870739,317.2041291,18,14,False,True
257,1,229,147.75,276.9777577,2118,185,0,1234.394696,721.6809633,22,19,False,True
258,1,64,55.0,262.5392446,3384,146,0,2854.907544,1019.896054,29,22,False,True
259,0,231,147.75,239.0754338,2012,47,0,2903.102397,794.2154583,21,20,False,True
260,1,26,21.0,153.8244071,462,65,31,7527.039567,4070.402474,10,9,True,False
261,1,68,55.0,89.89817396,558,0,44,4157.857045,3232.403234,13,12,False,True
262,1,226,147.75,249.415761,2585,420,94,2649.779838,1705.587495,26,16,False,True
263,1,98,80.0,138.8966777,1502,188,9,2352.808479,1356.918348,21,13,False,True
264,1,19,17.0,108.3085782,489,84,0,6016.787107,3032.050167,15,11,False,True
265,1,45,36.0,77.74150106,520,5,29,4603.909263,1490.444254,27,19,True,False
267,1,31,27.0,199.1817354,2891,171,0,3255.874666,1919.401874,26,21,False,True
268,1,13,10.0,34.86172503,1179,0,99,1023.566551,337.7888487,31,29,False,True
269,1,32,27.0,100.6259772,311,198,39,4939.367292,3849.562763,11,10,True,False
270,1,21,17.0,172.2561926,901,376,45,1709.999766,703.4949047,24,22,False,True
271,1,52,52.0,127.2898283,1672,714,0,6134.963884,4409.821166,27,17,False,True
272,1,75,61.0,158.7614474,1990,48,55,3169.686605,1325.913355,10,10,False,True
273,1,57,45.0,298.4321171,2962,0,13,6933.874574,2058.162246,7,7,True,False
274,1,27,22.0,186.5927505,2125,411,23,1517.931358,469.7574809,22,16,True,False
275,1,245,147.75,361.8844446,662,566,16,3287.554983,1178.941717,25,22,False,True
276,1,34,27.0,92.25161465,2761,174,0,2218.516115,1056.953313,16,8,False,True
277,1,69,61.0,114.7379542,1065,19,0,5795.613873,4479.103775,22,17,True,False
278,0,172,142.0,252.6878957,1823,0,28,4468.734705,2400.274437,4,4,False,True
279,1,266,147.75,440.7819453,485,40,29,1467.413353,1188.423862,29,19,False,True
280,1,42,36.0,356.9046735,1064,7,33,7447.127529,2503.810441,17,17,False,True
281,0,2,2.0,68.43454952,3150,0,60,3837.59098,2842.697652,1,0,False,True
282,1,51,42.0,116.2018066,2747,231,0,6283.729699,3332.246206,27,24,False,True
284,1,55,44.0,92.37585542,672,82,0,7185.197626,3885.194154,8,8,False,True
285,1,2,2.0,113.1919854,1399,238,94,1731.391158,1064.197865,24,18,True,False
286,1,12,10.0,71.44822472,2395,39,91,5385.271175,3025.260911,28,27,False,True
287,0,119,96.0,263.9841144,230,150,7,950.9577953,353.2173999,6,6,False,True
289,1,189,147.75,420.149277,1787,331,17,2782.363662,883.795458,5,5,False,True
290,0,13,13.0,27.58100881,2523,245,21,1406.660825,757.3981893,3,0,True,False
291,0,183,147.75,221.8495146,1848,266,51,1624.752998,1034.974113,5,5,True,False
292,1,6,5.0,157.7901742,596,225,0,4290.131177,1616.236589,5,0,False,True
293,0,141,116.0,298.7370296,1158,115,33,1089.856665,206.6034532,22,22,True,False
294,1,67,54.0,108.3482441,3491,57,0,918.7551918,745.8334329,13,13,True,False
295,1,35,34.0,170.5726742,1010,22,152,1864.129806,1376.523617,30,28,False,True
296,1,209,147.75,460.67836,858,58,0,7271.742702,1483.373518,28,23,False,True
297,1,72,58.0,89.24388135,3266,362,119,3556.819263,1681.669402,21,21,False,True
298,1,24,19.0,25.61451345,2359,78,43,1017.661538,811.2583295,9,9,False,True
299,0,95,77.0,181.2941591,812,137,166,7208.476576,2471.816919,0,0,False,True
300,1,71,57.0,229.5738286,3236,0,0,3296.5333,1971.852035,17,16,True,False
302,1,85,85.0,85.52710383,1910,72,86,7006.842375,4708.087354,28,20,True,False
303,1,21,20.0,80.20881981,76,133,60,5114.768154,1815.323806,25,23,False,True
304,1,82,66.0,218.4561729,187,0,0,3484.722205,1108.417135,3,3,True,False
305,1,333,147.75,340.3794914,1071,63,0,1404.494019,478.7301995,19,13,False,True
306,0,5,5.0,26.87356624,1331,36,15,8281.325372,3066.78267,11,11,False,True
307,1,21,17.0,39.64321447,3026,258,53,1609.820763,1238.472182,15,11,True,False
308,1,139,115.0,143.5246887,1493,0,21,11976.60698,7850.54279,16,11,False,True
310,1,108,87.0,133.4473084,2193,193,30,10652.88908,4022.185374,22,13,False,True
311,0,11,11.0,65.31764666,2227,116,25,4746.874044,3456.646203,4,4,False,True
312,0,16,14.0,192.4485012,1013,66,28,3883.098428,1991.582992,2,0,True,False
314,1,27,23.0,66.31426558,3154,167,0,1510.320551,1234.821636,17,17,True,False
315,1,105,85.0,124.6621252,3500,516,9,4020.756478,2222.235063,8,8,False,True
316,1,23,19.0,313.8435613,2926,440,0,1013.522947,618.6829728,30,24,False,True
317,1,64,51.0,103.6737581,2148,78,80,4964.022224,875.9385046,8,5,False,True
318,1,275,147.75,377.0828205,1822,0,0,3162.093616,908.6406646,15,13,False,True
319,1,17,16.0,406.0111908,2388,417,0,4111.561781,3296.698673,28,25,False,True
320,1,29,29.0,199.4914446,1406,102,0,9309.430515,3684.765813,19,14,True,False
321,1,38,31.0,47.36553559,2742,0,0,1636.73927,458.2839758,24,23,False,True
322,1,10,9.0,12.7841033,2027,88,0,1296.894808,899.3904551,23,22,False,True
323,1,115,92.0,187.3888153,1695,116,15,4477.163148,2212.245305,23,20,False,True
324,0,102,89.0,113.8593459,2212,202,1,5137.149641,2385.406011,11,9,True,False
325,1,63,51.0,229.5725919,107,0,0,1896.976879,1210.32549,19,19,False,True
326,1,145,119.0,162.9621574,1951,109,76,5748.899994,2328.054662,17,17,False,True
327,0,12,12.0,15.7444257,346,0,0,1250.275173,786.0290296,2,2,False,True
328,1,38,31.0,146.0450616,1164,298,78,1906.574774,216.5227425,1,0,True,False
329,1,8,8.0,338.6745844,327,190,0,1983.909549,1199.106437,14,10,False,True
331,1,90,90.0,247.2526078,3284,739,45,2223.829557,355.9671376,27,18,True,False
332,1,27,22.0,113.5729223,1331,102,0,3517.75827,2710.153465,10,9,False,True
334,1,47,41.0,217.5766162,3140,0,58,4045.520387,1917.852036,21,14,False,True
335,1,34,27.0,182.3413035,1206,35,0,2833.59001,2045.41683,31,28,False,True
336,0,194,147.75,205.3493295,1698,199,375,1626.453021,256.2005282,3,3,False,True
337,1,65,53.0,68.3612444,936,359,0,4320.121215,530.3163784,23,23,True,False
338,0,251,147.75,329.8946128,1420,0,60,4506.471534,1842.08226,1,0,False,True
339,1,0,0.0,0.2202109438,347,130,0,2520.850896,1539.318152,20,15,False,True
